2019-12-12 20:51:28.644132 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '500000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,32,73033,2,426,0,0,91,62,0,12,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,344,0,5045.27,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9532.27,4487,4487,3
0,31,79158,2,439,0,0,96,62,0,16,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,336,0,5008.69,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9560.69,4552,4552,0
0,26,70632,2,455,0,0,94,62,0,24,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,344,0,4953.47,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9635.47,4682,4682,1
0,40,83045,2,455,0,0,88,62,0,16,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,341,0,5012.94,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9623.94,4611,4611,0
0,11,78421,2,480,0,0,80,62,0,12,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,352,0,5090.78,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9826.78,4736,4736,3
0,49,79016,2,450,0,0,85,62,0,27,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,352,0,4924.18,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9588.18,4664,4664,4
0,9,61650,2,476,0,0,91,62,0,39,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,332,0,5099.88,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9906.88,4807,4807,1
0,42,60532,2,466,0,0,88,62,0,14,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,348,0,4994.49,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9670.49,4676,4676,1
0,28,80373,2,493,0,0,99,62,0,14,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,332,0,4984.46,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9816.46,4832,4832,3
0,35,60690,2,522,0,0,87,62,0,18,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,322,0,4963.0,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9791.0,4828,4828,3
0,46,67667,2,490,0,0,91,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,327,0,4978.57,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9735.57,4757,4757,1
0,48,76264,2,486,0,0,86,62,0,23,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,338,0,4947.81,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9742.81,4795,4795,2
0,19,71408,2,504,0,0,94,62,0,19,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,352,0,5012.33,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9946.33,4934,4933,2
0,23,79090,2,526,0,0,84,62,0,16,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,341,0,4954.21,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9934.21,4980,4980,2
0,37,71813,2,514,0,0,87,62,0,17,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,333,0,4997.43,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9863.43,4866,4866,1
0,21,59051,2,551,0,0,86,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,338,0,5021.82,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},10122.82,5101,5101,2
0,38,77913,2,542,0,0,94,62,0,11,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,354,0,4955.94,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},10061.94,5106,5106,2
0,47,80896,2,607,0,0,89,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,361,0,4899.58,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},10373.58,5474,5474,3
0,5,62396,2,713,0,0,87,62,0,29,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,332,0,4787.09,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},10707.09,5920,5920,3
Successful Runs: 50

Category cpuType:
cpuType,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,50,70255.66,2.00,451.18,0.00,0.00,86.96,0.00,19.58,337.24,0.00,4993.42,9576.68,4583.26,4583.16,1.64
Total number of unique cpuTypes: 1

Category zAll:
zAll,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Final Results:,50,70255.66,2.00,451.18,0.00,0.00,86.96,0.00,19.58,337.24,0.00,4993.42,9576.68,4583.26,4583.16,1.64
Total number of unique zAlls: 1
